Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
T,AT&T Inc,20.80,9.0%,19.08,18.03,16.39,1.32,5.26%,20.1%,1.8%,2.8,NEUTRAL,—,0,0,✅ 3/4,↑2 ↓0,$144.49B,Communications,NYSE
SPGI,"S&P Global, Inc.",425.65,6.1%,401.29,363.64,264.46,4.04,0.90%,14.8%,1.7%,2.3,BUYING,$+3.6M,4,0,✅ 3/4,↑0 ↓0,$125.99B,Commercial Services,NYSE
KKR,KKR & Co Inc,93.61,5.9%,88.43,70.97,49.33,2.98,0.84%,10.2%,2.2%,3.5,BUYING,$+50.9M,8,0,✅ 3/4,↑0 ↓0,$84.05B,Finance,NYSE
HUM,Humana Inc.,396.21,8.3%,365.78,359.46,294.49,2.56,0.89%,6.2%,6.0%,4.9,BUYING,$+150K,1,0,✅ 4/4,↑0 ↓0,$47.57B,Health Services,NYSE
AVB,"AvalonBay Communities, Inc.",190.49,4.8%,181.77,171.54,153.38,2.31,3.76%,9.7%,3.2%,2.8,NEUTRAL,—,0,0,🔴 0/4,↑0 ↓0,$27.03B,Finance,NYSE
WTRG,"Essential Utilities, Inc.",38.59,1.8%,37.89,37.64,32.31,1.59,3.53%,8.3%,1.9%,3.0,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$10.95B,Utilities,NYSE
MTDR,Matador Resources Company,51.90,2.0%,50.86,38.87,32.62,1.15,2.84%,8.9%,10.8%,7.4,BUYING,$+720K,12,0,✅ 4/4,↑0 ↓0,$6.44B,Energy Minerals,NYSE
EXP,Eagle Materials Inc.,204.57,7.2%,190.87,159.50,128.77,4.33,0.49%,28.9%,9.9%,5.0,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$6.32B,Non-Energy Minerals,NYSE
RLI,RLI Corp.,60.97,3.0%,59.19,51.80,39.55,3.12,1.19%,23.2%,8.0%,6.4,BUYING,$+1.5M,9,0,✅ 4/4,↑0 ↓0,$5.61B,Finance,NYSE
FFIN,First Financial Bankshares Inc,34.33,3.8%,33.06,32.77,26.44,2.51,2.59%,14.6%,7.9%,10.2,BUYING,$+912K,14,0,✅ 3/4,↑1 ↓0,$4.92B,Finance,NASDAQ
HRI,"Herc Holdings, Inc.",142.66,4.7%,136.24,108.45,83.81,2.51,2.00%,-0.3%,7.5%,3.6,BUYING,$+427K,1,0,✅ 3/4,↑1 ↓0,$4.76B,Finance,NYSE
KBH,KB Home,56.45,9.9%,51.35,44.62,33.75,0.91,1.77%,7.0%,19.8%,6.7,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$3.54B,Consumer Durables,NYSE
GPI,"Group 1 Automotive, Inc.",294.24,1.1%,291.11,229.57,163.88,1.23,0.75%,11.1%,11.5%,5.2,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$3.50B,Retail Trade,NYSE
MGEE,"MGE Energy, Inc.",82.28,7.3%,76.71,72.22,61.31,2.24,2.31%,10.9%,5.1%,4.5,BUYING,$+29K,1,0,🟡 2/4,↑0 ↓0,$3.11B,Utilities,NASDAQ
APAM,"Artisan Partners Asset Management, Inc. Class A",35.90,7.4%,33.43,29.94,23.92,6.55,9.48%,69.7%,8.5%,6.1,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$2.91B,Finance,NYSE
CXT,"Crane NXT, Co.",49.88,4.9%,47.55,39.84,32.25,2.32,1.46%,11.1%,18.2%,8.0,BUYING,$+1.2M,6,1,✅ 4/4,↑0 ↓0,$2.87B,Producer Manufacturing,NYSE
HTO,H2O America,61.29,7.4%,57.08,56.53,48.44,1.40,2.87%,6.5%,15.9%,11.7,BUYING,$+10.8M,5,2,🟡 2/4,↑2 ↓0,$2.56B,Utilities,NASDAQ
