Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,108.96,117.09,6.9%,109.63,117.86,109.63,69.28,0.6%,1.71,—,7.8%,1.2%,2.2,SELLING,$-1.5M,0,3,✅ 4/4,↑1 ↓0,$188.14B,Consumer Services,NYSE
CMCSA,Comcast Corporation Class A,25.23,32.85,23.2%,30.28,33.88,30.28,19.06,16.7%,1.00,—,12.0%,2.6%,3.6,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$89.55B,Consumer Services,NASDAQ
BIIB,Biogen Inc.,217.87,225.80,3.5%,263.11,232.43,263.11,174.11,17.2%,1.71,—,4.6%,4.3%,7.4,SELLING,$-240K,0,1,✅ 4/4,↑0 ↓0,$32.19B,Health Technology,NASDAQ
CHTR,"Charter Communications, Inc. Class A",147.45,285.82,48.4%,351.79,415.84,351.79,,58.1%,1.04,—,29.7%,33.6%,5.8,SELLING,$-9.0M,4,1,🔴 2/4,↑0 ↓0,$25.82B,Consumer Services,NASDAQ
GPN,Global Payments Inc.,90.25,95.88,5.9%,102.67,121.81,102.67,60.27,12.1%,1.04,—,2.2%,7.3%,5.2,NEUTRAL,—,0,0,✅ 4/4,↑2 ↓0,$23.88B,Finance,NYSE
BCE,BCE Inc.,23.55,26.52,11.2%,28.03,30.04,28.03,19.98,16.0%,1.51,—,30.6%,—,9.7,—,—,0,0,✅ 3/4,↑0 ↓0,$21.97B,Communications,NYSE
IFF,International Flavors & Fragrances Inc.,83.68,89.31,6.3%,96.07,93.71,96.07,64.13,12.9%,1.53,—,1.8%,8.7%,10.3,BUYING,$+19.0M,1,3,🔴 2/4,↑1 ↓0,$21.35B,Consumer Non-Durables,NYSE
STLA,Stellantis N.V.,5.27,12.22,56.8%,9.59,11.64,9.59,,45.0%,0.24,—,—,4.9%,6.7,—,—,0,0,🟡 1/2,↑0 ↓0,$19.85B,Consumer Durables,NYSE
ZBH,"Zimmer Biomet Holdings, Inc.",96.29,106.88,9.9%,109.76,114.95,109.76,82.17,12.3%,1.45,—,6.4%,6.1%,4.1,SELLING,$-708K,0,2,✅ 4/4,↑1 ↓0,$18.37B,Health Technology,NYSE
TSN,"Tyson Foods, Inc. Class A",53.19,69.48,23.5%,53.84,58.97,53.84,33.18,1.2%,1.01,—,3.2%,3.1%,2.9,BUYING,$+1.0M,1,0,✅ 3/4,↑0 ↓0,$18.34B,Consumer Non-Durables,NYSE
FLUT,Flutter Entertainment Plc,100.02,287.44,65.2%,137.45,165.12,137.45,,27.2%,1.98,—,-8.0%,7.4%,2.9,SELLING,$-189K,7,18,✅ 3/4,↑3 ↓0,$17.36B,Consumer Services,NYSE
WY,Weyerhaeuser Company,22.11,27.75,20.3%,24.50,26.39,24.50,18.15,9.8%,1.69,—,5.0%,4.6%,5.2,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$15.94B,Finance,NYSE
TU,TELUS Corporation,9.13,16.12,43.4%,12.89,14.47,12.89,8.69,29.2%,1.54,—,-6.4%,—,8.8,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$14.51B,Communications,NYSE
